Grupo|Profesor
1A|GLBQ347762JXVITH87
1A|KIPA071118JDCXEI12
1A|BDXG908755XQOWFL65
1A|WYNF875242RIGKPT59
1A|VWEA666263OHTWMA59
1A|JTPZ591601KTIOCR66
1L|JNKE968528OEMZYM38
1L|NALN034292LJENRD50
1L|WNHP638525UXUVDA20
1L|WYNF875242RIGKPT59
1L|VWEA666263OHTWMA59
1L|RULF435403YOHOZF09
1L|MEOZ678597VCQSVE52
1S|RNEB387911JEAEEM84
1S|PHTJ535568KKRFRB63
1U|BIGH982877PMLDOD14
1U|WYNF875242RIGKPT59
1U|VWEA666263OHTWMA59
1U|YKNZ254199YPMTCF46
2U|NALN034292LJENRD50
2U|VWHS527715JBWSVH27
2U|WNHP638525UXUVDA20
2U|LQAZ618289TPRPBN24
2U|TPIG882507TQQPLA45
3G|QBZC260103AKKGLQ33
3G|LQAZ618289TPRPBN24
3G|MNLC734351MZADVO74
3G|JNNQ826169BUNXKL61
3J|MXRG109651SGRCVR02
3J|FQDF611407XWAOJV15
3J|QXLG177972LXKGXX93
3J|WJLF457516JPBIRK04
3J|CAGY912641AZLEFW97
3P|ETUQ990265LNNWPY72
3P|VWHS527715JBWSVH27
3P|JJVE136274OLPMEL24
3P|RNEB387911JEAEEM84
3P|YKNZ254199YPMTCF46
4T|EJLT584234JIWUNZ66
4T|KIPA071118JDCXEI12
4T|QXLG177972LXKGXX93
4T|DPUT562123IZFUWF82
5K|EJLT584234JIWUNZ66
5K|JNKE968528OEMZYM38
5K|TQRF522341RGBPWE90
5K|VWEA666263OHTWMA59
8A|FQDF611407XWAOJV15
8A|WJLF457516JPBIRK04
8A|LQAZ618289TPRPBN24
8A|MNLC734351MZADVO74
8A|YKNZ254199YPMTCF46
8P|GLBQ347762JXVITH87
8P|TQRF522341RGBPWE90
8P|YOMM995804RHSLGO00
8P|QXLG177972LXKGXX93
8P|EEQK651848EJOLQH20
8S|GLBQ347762JXVITH87
8S|TWZR029759LNJRHD00
8S|MXRG109651SGRCVR02
8S|RDCY650001WIPEDM66
8S|RULF435403YOHOZF09
8S|JTPZ591601KTIOCR66
9O|EJLT584234JIWUNZ66
9O|TQRF522341RGBPWE90
9O|QXLG177972LXKGXX93
9O|QESU380654ENPNFC49
9O|JTPZ591601KTIOCR66
9O|YKNZ254199YPMTCF46
9U|CIBY457198YTWKRU65
9U|VMOU741869HDWHVP80
9U|WHQM915366DOZAVY26
9U|MEOZ678597VCQSVE52
