1A|ABKZ607668NVIQTL64
3G|ABKZ607668NVIQTL64
1A|CIBY457198YTWKRU65
8C|CIBY457198YTWKRU65
6A|DNEY145989MBPSYA98
1C|DORD624610QZZEVN99
8S|DORD624610QZZEVN99
8P|DPUT562123IZFUWF82
8S|EEQK651848EJOLQH20
8C|EEQK651848EJOLQH20
1A|EJLT584234JIWUNZ66
1A|EEQK651848EJOLQH20
1A|ETUQ990265LNNWPY72
3G|ETUQ990265LNNWPY72
5B|ETUQ990265LNNWPY72
5B|EVDI600621MLNQSE58
8S|EVDI600621MLNQSE58
6A|EVDI600621MLNQSE58
3G|GLBQ347762JXVITH87
6A|GLBQ347762JXVITH87
5B|JJVE136274OLPMEL24
8C|JJVE136274OLPMEL24
1B|JNKE968528OEMZYM38
2U|JNKE968528OEMZYM38
3G|JNNQ826169BUNXKL61
6A|KIPA071118JDCXEI12
3P|KNGP189491BHTZLA30
3J|MEOZ678597VCQSVE52
3P|MXRG109651SGRCVR02
8A|MXRG109651SGRCVR02
8S|PFGI274811RPCQCM60
4A|QESU380654ENPNFC49
8C|QUES303973KNFCRX18
3G|QXLG177972LXKGXX93
5B|QXLG177972LXKGXX93
2U|RNEB387911JEAEEM84
